Aikaleima,Artist,Song,Anime/TV show
,Jyukai,Hanamuke no Merodii ,Ah! My Godess
,Jyukai,Koibito Doushi ,Ah! My Godess
,Angela,Zenryoku*Summer! ,Aho Girl
,Lia,Farewell Song ,Air
,Lia,Tori no Uta ,Air
,Japahari Net,Retsu no Matataki ,Air Master
,Maximum the Hormone,ROLLING 1000 tOON ,Air Master
,Mamoru Miyano,How Close You Are ,Ajin
,flumpool,Yoru wa Nemureru kai ,Ajin
,Angela x FripSide,Boku wa Boku de Atte ,Ajin: Demi-Human
,eyelis,Kizuna ni Nosete ,Akagami no Shirayuki–hime
,eyelis,Page ~Kimi to Tsuzuru Monogatari~ ,Akagami no Shirayuki–hime
,Saori Hayami,Sono Koe ga Chizu ni Naru ,Akagami no Shirayuki–hime
,Saori Hayami,Yasashii Kibou ,Akagami no Shirayuki–hime
,Maximum the Hormone,Akagi ,Akagi
,Miku Sawai,"Konna Sekai, Shiritakunakatta ",Akame ga Kill
,Rika Mayama,Liar Mask ,Akame Ga Kill
,Sora Amamiya,Skyreach ,Akame ga Kill
,Akiko Shikata,Akatsuki ,Akatsuki no Yona
,Shikata Akiko,Akatsuki ,Akatsuki no Yona
,Cyntia,Akatsuki no Hana ,Akatsuki no Yona
,Earphones,Ikken Rakuchaku Goyoujin ,Akiba's Trip: The Animation
,Maaya Uchida,Soushou Innocence ,Akuma no Riddle
,Kalafina,Heavenly blue ,Aldnoah Zero
,SawanoHiroyuki[nZk] mizuki,&z ,ALDNOAH.ZERO
,SawanoHiroyuki[nZk] mizuki,aLIEz ,ALDNOAH.ZERO
,SawanoHiroyuki[nZk] mizuki,AZ ,ALDNOAH.ZERO
,Eir Aoi,Genesis ,Aldnoah.Zero Part 2
,Kuricorder Quartet & Shione Yukawa,Tameiki no Hashi ,Allison and Lillia
,azusa,i Love ,Amagami SS
,AKINO with bless4,Extra Magic Hour ,Amagi Brilliant Park
,Maaya Sakamoto,Million Clouds ,Amanchu
,Aimer,SCOPE,Ameku Takao no Suiri Karute
,Ray,Recall ,Amnesia
,Nagi Yanagi,Zoetrope ,Amnesia
,Konomi Suzuki,Love is MY RAIL ,Ange Vierge
,Girls Dead Monster,Alchemy (Yui ver.),Angel Beats
,Girls Dead Monster,Crow Song,Angel Beats
,Girls Dead Monster,My Song ,Angel Beats
,LiSA,My Soul Your Beats Rock Version ,Angel Beats
,Lia,"My Soul, Your Beats ",Angel Beats
,Aoi Tada,Brave Song ,Angel Beats!
,GARNiDELiA,Aikotoba ,Animegataris
,Galileo Galilei,Aoi Shiori ,Anohana
,Galileo Galilei,Circle Game ,Anohana
,Ai Kayano,Secret Base ~Kimi ga Kureta Mono~ (10 Years After) ,Anohana
,Ali Project,Kyoumu Densen ,Another
,3-nen E-gumi Utatan,Bye Bye Yesterday ,Ansatsu Kyoushitsu
,moumoon,"Hello, shooting-star ",Ansatsu Kyoushitsu
,3-nen E-Gumi Utatan,Jiriki Hongan Revolution ,Ansatsu Kyoushitsu
,Shion Miyawaki,Kaketa Tsuki ,Ansatsu Kyoushitsu
,3-nen E-gumi Utatan,QUESTION ,Ansatsu Kyoushitsu
,3-nen E-Gumi Utatan,Seishun Satsubatsuron ,Ansatsu Kyoushitsu
,CHiCO with HoneyWorks,Sekai wa Koi ni Ochiteiru ,Ao Haru Ride
,Uverworld,Core Pride ,Ao no Exorcist
,ROOKiEZ is PUNK'D,In My World ,Ao no Exorcist
,UVERworld,Itteki no Eikyou,Ao no Exorcist
,Rin Akatsuki,Kono Te de,Ao no Exorcist
,Shiyui,Overlap,Ao no Exorcist
,2PM,Take Off ,Ao no Exorcist
,Meisa Kuroki,Wired Life ,Ao no Exorcist
,Ray,a-gain ,Ao no Kanata no Four Rhythm
,Mami Kawada,Contrail ~Kiseki~ ,Ao no Kanata no Four Rhythm
,Toy GunGun,The Bravest Destiny ,Aoharu x Kikanjuu
,Toy?GunGun,The Bravest Destiny ,Aoharu x Kikanjuu
,Trident,Blue Fields ,Aoki Hagane no Arpeggio
,Trident,Innocent Blue ,Aoki Hagane no Arpeggio
,nano feat. MY FIRST STORY,SAVIOR OF SONG ,Aoki Hagane no Arpeggio
,Suneohair,Akai Coat ,Arakawa Under the Bridge
,Suneohair,Sakasama Bridge ,Arakawa Under the Bridge
,Etsuko Yakushimaru,Venus to Jesus ,Arakawa Under the Bridge
,Sphere,Genesis Aria ,Arata Kangatari
,Itou Kanako,Maris Stella ,Are you Alice?
,SRS,Higher Ground ,Area no Kishi
,DracoVirgo,Hajime no Uta ,Arifureta Shokugyou de Sekai Saikyou
,Maaya Sakamoto,Mameshiba ,Arjuna: Onna no Minato
,Maaya Sakamoto,Sanctuary ,Arjuna: Onna no Minato
,Kalafina,blaze ,Arslan Senki
,UVERworld,"Boku no Kotoba dewa nai, Kore wa Bokutachi no Kotoba ",Arslan Senki
,Kalafina,One Light ,Arslan Senki
,Eir Aoi,Lapis Lazuli ,Arslan Senki (TV)
,Eir Aoi,Tsubasa ,Arslan Senki (TV)
,Ami Koshimizu,"Que Sera, Sera",Ashita no Nadja
,Aimi,Tenshi No Clover ,Astarotte no Omocha
,Meg Rock,Egao No Riyuu ,Asu no Yoichi
,Angela,Link ,Asura Cryin'
,Angela,Spiral ,Asura Cryin'
,Angela,Alternative ,Asura Cryin' 2
,Angela,Kanata no Delight ,Asura Cryin' 2
,Ali Project,Gesshoku Grand Guignol ,Avenger
,Ali Project,Mirai no Eve ,Avenger
,Ayane,Cloudier Sky ,Ayakashi
,Oranges & Lemons,Raspberry Heaven ,Azumanga Daioh
,Oranges & Lemons,Soramimi Cake,Azumanga Daioh
,May'n,graphite diamond ,Azur Lane
,Yukari Tamura,Oshiete A to Z ,B Gata H Kei
,Kitakore,Hoshi to Tsuki no Sentence ,B-Project: Kodou*Ambitious
,B-PROJECT,Kodou*Ambitious ,B-Project: Kodou*Ambitious
,Mao Abe,Believe in Yourself ,Baby Steps
,LiSA,dawn ,Back Arrow
,FLOW,United Sparrows ,Back Arrow
,Gokudolls Niji Gumi,Gokudoll Music ,Back Street Girls: Gokudolls
,Milktub,Baka Go Home ,Baka To Test To Shoukanju
,Natsuko Asou,Perfect Area Complete ,Baka To Test To Shoukanju
,Miyuki Sawashiro,Ambivalent World ,Bakemonogatari
,Emiri Katou,Kaerimichi ,Bakemonogatari
,Kana Hanazawa,Mousou Express ,Bakemonogatari
,Kana Hanazawa,Renai Circulation ,Bakemonogatari
,Chiwa Saito,Staple Stable ,Bakemonogatari
,Yui Horie,Sugar Sweet Nightmare ,Bakemonogatari
,YA-KYIM,BAKUROCK ~Mirai no Rinkakusen~ ,Bakuman
,Kobukuro,Blue Bird ,Bakuman
,Tommy heavenly6,Monochrome Rainbow ,Bakuman
,FictionJunction YUUKA,Kouya Ruten ,Bakumatsu Kikansetsu Irohanihoheto
,vistlip,Jack ,Bakumatsu Rock 
,Ultra-Souls,Zetchou Daybreak ,Bakumatsu Rock 
,UNISON SQUARE GARDEN,"10% roll, 10% romance ",Ballroom e Youkoso
,UNISON SQUARE GARDEN,Invisible Sensation ,Ballroom e Youkoso
,Mikako Komatsu,Maybe the next waltz ,Ballroom e Youkoso
,Mikako Komatsu,Swing heart direction ,Ballroom e Youkoso
,Survive Said The Prophet,found & lost ,Banana Fish
,King Gnu,Prayer X ,Banana Fish
,Survive Said The Prophet,RED ,Banana Fish
,Megumi Hayashibara,Fine Colorday ,Bannou Bunka Nekomusume
,Megumi Hayashibara,Watashi ni Happy Birthday ,Bannou Bunka Nekomusume
,Megumi Hayashibara,Yume Hurry Up ,Bannou Bunka Nekomusume
,Megumi Hayashibara,A House Cat ,Bannou Bunka Nekomusume Dash!
,SUPER BEAVER,Rashisa ,Barakamon
,Mone Kamishiraishi,Spica,Bartender: Kami no Glass
,Takaya Kawasaki,Stardust Memory   ,Bartender: Kami no Glass
,Omnyouza,Kouga ninpou chou ,Basilisk
,Nana Mizuki,Wild Eyes ,Basilisk
,MYTH&ROID,AngerAnger ,BBK/BRNK
,ALI,Wild Side ,Beastars
,GARNiDELiA,Error ,BEATLESS
,no3b,Answer ,Beelzebub
,Shoko Nakagawa,Tsuyogari ,Beelzebub
,Susumu Hirasawa,Forces ,Berserk
,9mm Parabellum Bullet,Inferno ,Berserk
,PENPALS,Tell Me Why ,Berserk
,Silver Fins,Waiting so long,Berserk
,Clifton David,Metal masters theme song,Beyblade Metal Masters
,Yousei Teikoku,DISORDER ,Big Order
,Aki Hata,Koware Sekai Oware ,Big Order
,Chikyuu Seifuku-bu,I miss you no 3 meters ,Binan Koukou Chikyuu Bouei-bu LOVE!
,Chikyuu Bouei-bu,Zettai Muteki?Fallin' LOVE? ,Binan Koukou Chikyuu Bouei-bu LOVE!
,Piko,Make My Day ,Binbougami ga
,Happy Birthday,Koi Boudou ,Binbougami-ga
,FripSide,Black Bullet ,Black Bullet
,Nagi Yanagi,Tokohana ,Black Bullet
,Yoriko,Daia No Hana ,Black Cat
,m-flo,Against all gods,Black Clover
,KAF,Answer,Black Clover
,VickeBlanka,Black Catcher,Black Clover
,VickeBlanka,Black Rover ,Black Clover
,EMPiRE,Black to the dreamlight,Black Clover
,Angela,Dream on,Black Clover
,Tomorrow X Together,Everlasting shine ,Black Clover
,Faky,four,Black Clover
,Snowman,Grandeur,Black Clover
,Kumi Koda,Guess Who Is Back ,Black Clover
,Kankaku Piero,Harukamirai,Black Clover
15.7.2024 klo 13.00.08,Miyuna,Tenjou Tenge,Black Clover
,Ai Otsuka,Kuroge Wagyuu Joshio Tanyaki 680 Yen ,Black Jack
,Supercell feat. Hatsune Miku,Black Rock Shooter ,Black Rock Shooter
,ONE OK ROCK,NO SCARED ,Black Rock Shooter
,MimimemeMIMI,Sayonara Usotsuki,Blade and Soul
,Makura no Soushi,Akai Usagi ,Blade of the Immortal
,LEGO BIG MORL,RAINBOW ,Blade Soul
,Kanako Itou,A Wish For The Star ,Blassreiter
,Kotoko,Ao-Iconoclast ,BlazBlue
,Faylan,Blue sanction ,BlazBlue
,Kotoko,Hekira no Sora e Izanaedo ,BlazBlue
,Daisuke Ishiwatari,Shinsou ,BlazBlue
,Faylan,Soukyuu no Hikari ,BlazBlue
,Asian Kung-fu Generation,After dark ,Bleach
,Aqua Timez,ALONES ,Bleach
,Porno Graffitti,Anima Rossa ,Bleach
,fumika,Aoi Tori ,Bleach
,Orange Range,Asterisk ,Bleach
,June,Baby it's you ,Bleach
,ViViD,BLUE ,Bleach
,UVERworld,CHANCE! ,Bleach
,Miwa,chAngE ,Bleach
,Kelun,CHU-BURA ,Bleach
,UVERworld,D-tecnoLife ,Bleach
,chatmonchy,Daidai ,Bleach
,Universe,Echoes ,Bleach
,pe'zmoku,Gallop ,Bleach
,Ikimono gakari,Hanabi ,Bleach
,Skoop on Somebody,happypeople ,Bleach
,Unlimits,Haruka Kanata ,Bleach
,SCANDAL,Harukaze ,Bleach
,Stereo Pony,Hitohira no hanabira ,Bleach
,Stereopony,Hitohira no hanabira ,Bleach
,HIGH and MIGHTY COLOR,Ichirin no hana ,Bleach
,RSP,Kansha. ,Bleach
,Sambomaster,"Kimi o Mamotte, Kimi o Aishite ",Bleach
,Porno Graffitti,"Koyoi, Tsuki ga Miezutomo ",Bleach
,SPYAIR,Last Moment ,Bleach
,YUI,Life ,Bleach
,Rie Fu,Life is Like a Boat ,Bleach
,Kenichi Asai,Mad Surfer ,Bleach
,Aqua Timez,Mask ,Bleach
,SunSet Swish,My pace ,Bleach
,Lil'B,Orange ,Bleach
,Sid,Ranbu no Melody ,Bleach
,Aimer,Re pray ,Bleach
,YUI,Rolling star ,Bleach
,Mai Hoshimura,Sakura Biyori ,Bleach
,SCANDAL,Shoujo S ,Bleach
,Shion Tsuji,Sky chord ~Otona ni naru kimi he~ ,Bleach
,ROOKiEZ is PUNK'D,Song for... ,Bleach
,Diggy-MO',Stay Beautiful ,Bleach
,RSP,Tabidatsu Kimi e ,Bleach
,Kousuke Atari,Tane o Maku Hibi ,Bleach
,Home Made Kazoku,Thank you!! ,Bleach
,Beat Crusaders,"Tonight, tonight, tonight ",Bleach
,Ore Ska Band,Tsumasaki ,Bleach
,Aqua Timez,Velonica ,Bleach
,Blend A,Bon App‚tit?S ,Blend S
,Jinn,Raion ,Blood
,Yuuka Nanri,BLOODY HOLIC ,Blood Lad
,May'n,ViViD ,Blood Lad
,Nana Mizuki,Junketsu Paradox ,Blood-C
,DUSTZ,Spiral ,Blood-C
,Hitomi Takahashi,Aozora No Namida ,Blood+
,UVERworld,Colors of the Heart ,Blood+
,Hyde,Season's Call ,Blood+
,Jindou,Wild Challenger ,Bobobo
,Ulfuls,Baka Survivor ,Bobobo–bo Bo–bobo
,Kessoku Band,"Guitar, Lonelines and Blue Planet",Bocchi The Rock
,Kessoku Band,Seishun Complex,Bocchi The Rock
,Asian Kung-Fu Generation,ReRe ,Boku Dake Ga Inai Machi
,Sayuri,Sore wa Chiisana Hikari no You na ,Boku Dake Ga Inai Machi
,Little Glee Monster,"Dakara, hitori ja nai ",Boku no Hero Academia
,LiSA,Datte Atashi no Hero ,Boku no Hero Academia
,Brian the Sun,HEROES ,Boku No Hero Academia
,UVERworld,Odd Future ,Boku no Hero Academia
,Kenshi Yonezu,Peace Sign ,Boku no Hero Academia
,BLUE ENCOUNT,Polaris,Boku no Hero Academia
,Amazarashi,Sora ni Utaeba ,Boku no Hero Academia
,Porno Graffitti,The Day ,Boku no Hero Academia
,miwa,Update ,Boku no Hero Academia
,Mariko Sakou,Koi wo Shiyou yo ,Boku no Pico
,Kanako Itou,Papiliones ,Boku no Te no Naka no Rakuen 
,Marina Inoue,Watashi no Ki-Mo-Chi ,Boku wa Tomodachi ga Sukunai
,Tomodachi Tsukuritai,Zannenkei Rinjinbu Hoshi Futatsu Han ,Boku wa Tomodachi ga Sukunai
,Marina Inoue,Be My Friend ,Boku wa Tomodachi ga Sukunai Next
,Mi,Kimi dake wo ,Bokuga ga Ita
,Chiaki Ishikawa,Vermillion ,Bokura no
,fhána,"Itsuka no, Ikutsuka no Kimi to no Sekai ",Bokura wa Minna Kawai-sou
,"Kana Hanazawa, Mayumi Nishikino & Hisako Kanemoto",My Sweet Shelter ,Bokura wa Minna Kawai-sou
,Chiaki Ishikawa,Little Bird ,Bokurano
,Chiaki Ishikawa,Uninstall ,Bokurano
,Chiba Saeko,Bokusatsu Tenshi Dokuro-chan ,Bokusatsu Tenshi Dokuro-chan 
,Kyoko,Mirai Seiki Maruhi Club ,boogiepop Phantom
,Suga Shikao,Yuudachi ,Boogiepop Phantom
,The Peggies,Dreamy Journey ,Boruto
,KANA-BOON,Baton Road ,Boruto: Naruto next generations
,Boom Boom Satellites,Shut up and explode ,Bounen no Xamdou
,ADAPTER,Adeosu ,Brave 10
,Daisuke Ono & Tetsuya Kakihara,Seirei Hirai ,Brave 10
,ASAHINA Bros.+JULI,14 to 1 ,Brothers Conflict
,Gero,BELOVEDxSURVIVAL ,Brothers Conflict
,"Risa Taneda, Aya Suzaki, MAO & Azusa Tadokoro",Ichiban Boshi ,Brynhildr in the Darkness
,Nano,Exist ,Btooom
,Nano,No Pain No Game ,Btooom
,Akira Sudou,Waiting for you ,Bubblegum Crisis Tokyo 2040
,Akira Sudou,Y'know ,Bubblegum Crisis Tokyo 2040
,Konomi Suzuki,Beat your Heart ,Bubuki Buranki
,ChouCho,Ano Sora ni Kaeru Mirai de ,Buddy Complex
,TRUE ,UNISONIA ,Buddy Complex
,Luck Life,Kaze ga Fuku Machi ,Bungou Stray Dogs
,Luck Life,Namae wo yobu yo ,Bungou Stray Dogs
,GRANRODEO,TRASH CANDY ,Bungou Stray dogs
,Jyukai,Hoshi Akari ,Busou Renkin
,Aya Kagami,Itoshiki Sekai ,Busou Renkin
,Yoshiki Fukuyama,Makka Na Chikai ,Busou Renkin
,Miku Itou,Shocking blue,Busou shoujo machiavellism
,Kou Shibasaki,Kage ,Byakuyakou
,NICO Touches the Walls,Matryoshka ,C: The Money of Soul and Possibility Control
,school food punishment,RPG ,C: The Money of Soul and Possibility Control
,"Ari Ozawa, Minami Tanaka, Rie Murakawa, Rie Takahashi",HYPNO ,Caligula
,"Chiharu Sawashiro, Shunsuke Takeuchi",Paradigm Box ,Caligula
,Reina Ueda,Renetto ,Caligula
,Megu Sakuragawa,BRAVE BLADE! ,Campione
,Faylan,Mind as Judgment ,Canaan
,Mitsuke Horie,Candy Candy,Candy Candy
,Susana Klein,Candy Candy,Candy Candy
,flumpool,Believers High ,Captain Earth
,Tia,The Glory Days ,Captain Earth
,DASEIN,BREAK OFF!! ,Captain Tsubasa
,Da Pump,Dragon Screamer ,Captain Tsubasa
,MAX,Feel so right ,Captain Tsubasa
,London Boots 1Go 2Go,Kachi ,Captain Tsubasa
,Atsuko Enomoto,Keep on Going ,Captain Tsubasa
,Kenichi Suzumura,Moete Hero -Genzo Wakabayashi ver.- ,Captain Tsubasa
,Yuuko Sanpei,Moete Hero -Tsubasa Oozora ver.- ,Captain Tsubasa
,Eriko Imai,Our Relation ,Captain Tsubasa
,Johnny's West,Start Dash! ,Captain Tsubasa
,GUMI,Hitorijime ,Card Captor Sakura
,Motoko Kumai,Ki Ni Naru Aitsu ,Card Captor Sakura
,Junko Iwao,Yoru no Uta ,Card Captor Sakura
,GUMI,Catch You Catch Me ,Cardcaptor Sakura
,Maaya Sakamoto,CLEAR ,Cardcaptor Sakura
,Kojima Megumi,Fruits Candy ,Cardcaptor Sakura
,Kohmi Hirose,Groovy ,Cardcaptor Sakura
,Koumi Hirose,Groovy ,Cardcaptor Sakura
,Chihiro,Honey ,Cardcaptor Sakura
,Saori Hayami,Jewelry ,Cardcaptor Sakura
,Maaya Sakamoto,Platinum ,Cardcaptor Sakura
,Anza,Tobira Wo Akete ,Cardcaptor Sakura
,Minami Kuribayashi,Super Affection ,Carnival Phantasm
,Nano,My Liberation ,Chain Chronicle: Haecceitas no Hikari
,Kenshi Yonezu,KICK BACK ,Chainsaw Man
,Natsumi Kon,ISOtone ,Chaos Dragon
,"Miyuki Sawashiro, Maaya Uchida & Haruka Terui",Delta Decision ,Chaos Dragon: Sekiryuu Senek
,Konomi Suzuki,Chaos Syndrome ,Chaos;Child
,Kanako Itou,Hijitsuzai Seishounen ,Chaos;Child
,Kanako Itou,Uncontrollable ,Chaos;Child
,Kanako Itou,D.P. ,Chaos;Head
,Itou Kanako,F.D.D ,Chaos;Head
,Kanako Itou,Fake Me ,Chaos;Head
,Kanako Itou,Find the blue ,Chaos;Head
,Kagami Seira,Super Special ,Chaos;Head
,Lia,Bravely You ,Charlotte
,Luck Life,Hajime no ippo ,Cheer Danshi
,Rica Matsumoto,Chiisana Dai Bouken ,Chi's Sweet Home
,Satomi Koorogi,Ouchi ga ichiban ,Chi's Sweet Home
,Asami Seto,Soshite Ima ,Chihayafuru
,99RadioService,Youthful ,Chihayafuru
,Rie Tanaka & Tomokazu Sugita,Katakoto no Koi ,Chobits
,Round Table featuring Nino,Let me be with you ,Chobits
,Rie Tanaka,Ningyo Hime ,Chobits
,Rie Tanaka,Raison d'ˆtre ,Chobits
,Confiture Kikaku,Break the war,Chokkyuu hyoudai robot anime -STRAIGHT TITLE-
,Ecosystem,Love Letter from Nanika ,Chouayku Hyakuninisshu: Uta Koi
,Fujiwara Makoto,Macross,Choujikuu Yousai Macross
,Mari Iijima,Watashi no Kare wa Pilot,Choujikuu Yousai Macross
,Minami Kurabashi,Tsubasa wa Pleasure Line ,Chrono Crusade
,Minori Chihara,Choose Bright ,Chu-bra
,Minori Chihara,Choose Bright!! ,Chu-bra
,Gesu no Kiwami Otome,Sassou to Hashiru Tonegawa-kun ,Chuukan Kanriroku Tonegawa
,ZAQ,Sparkling Daydream ,Chuunibyou demo Koi ga Shitai!
,Black Raison d'ˆtre,Van!shment Th!s World ,Chuunibyou demo Koi ga Shitai!
,Chata,Dango Daikazoku ,Clannad
,Eufonius,Megumeru ~Cuckool Mix 2007~ ,Clannad
,Lia,Torch ,Clannad
,Lia,Toki wo Kizamu Uta ,Clannad Afterstory
,Riyu Kosaka,Danzai no hana ~Guilty sky~ ,Claymore
,Nightmare,Raison d'ˆtre ,Claymore
,Flow,Colors ,Code Geass
,Access,Hitomi no Tsubasa ,Code Geass
,Jinn,Kaidoku Funou ,Code Geass
,SunSet Swish,Mosaic Kakera ,Code Geass
,Orange Range,O2 ,Code Geass
,Orange Range,Shiawase Neiro ,Code Geass
,Ali Project,Waga Routashi Aku no Hana ,Code Geass
,FLOW,World End ,Code Geass
,Ali Project,Yuukyou Seishunka ,Code Geass
,GRANRODEO,Dark Shame ,Code: Breaker
,Kenichi Suzumura,Shiroi Karasu ,Code: Breaker
,fhána,Comet Lucifer ~The Seed and the Sower~ ,Comet Lucifer
,Emi Motoda,Kimi no Mamade ,Comic Party
,ZAQ,Katararezu Tomo ,Conrete Revolution: Choujin Gensou
,Angela,ANGEL ,Coppelion
,Angela,Tooku made ,Coppelion
,Kyoko with Masayoshi Yamazaki & Suga Shikao,Eien to iu Basho ,Corrector Yui
,Satsuki,Tori ni naru Toki ,Corrector Yui
,Marina Inoue,Houseki ,Cossette no Shouzou
,Seatbelts feat. Mai Yamane,The Real Folk Blues ,Cowboy Bebop
,Kyary Pamyu Pamyu,Kimi ni 100 Percent ,Crayon Shin-chan
,Nana Mizuki,Kindan no Resistance ,Cross Ange
,Eri Kitamura,Rinrei ,Cross Ange
,Franz Ferdinand,This Fffire ,Cyberpunk: Edgerunners
,Globe,Genesis of Next ,Cyborg 009
,Globe,Starting From Here ,Cyborg 009
,Globe,What's the justice ,Cyborg 010
,CooRie,Mirai e no Melody ,D.C.: Da Capo
,Yozuca,Sakura Amaneku Sekai ,D.C.: Da Capo
,Yozuca,Sakura Saku Mirai Koi Yume ,D.C.: Da Capo
,Yozuca,Sakurairo no Kisetsu ,D.C.: Da Capo
,Nami Tamaki,Brightdown ,D.Gray-man
,Access,Doubt and Trust ,D.Gray-man
,Abingdon boys school,Innocent sorrow ,D.Gray-man
,Shunichi Miyamoto,Byakuya ~True light~ ,D.N.Angel
,Yozuca,Aitai yo ,Da Capo III
,"Emi Nitta, Ui Miyazaki, Mikoi Sasaki, Chiyo Ousaki, and Erika Kaiho",Sakura Happy Innovation ,Da Capo III
,MICHI,Checkmate! ,Dagashi Kashi
,Yuka Iguchi,Hey world ,Danmachi
,Kanon Wakeshima,Right Light Rise ,Danmachi
,HIGH and MIGHTY COLOR,Dreams ,Darker than Black
,Abingdon boys school,HOWLING ,Darker than Black
,An Cafe,Kakusei Heroism ~The Hero without a Name~ ,Darker than Black
,Rie fu,Tsukiakari ,Darker than Black
,Abingdon boys school,From Dusk Till Dawn ,Darker than black: Ryuusei no gemini
,STEREOPONY,Tsukiakari no Michishirube ,Darker than black: Ryuusei no gemini
,Mia Nakashima x Hyde,KISS OF DEATH,Darling in the Franxx
,Sweet ARMS,Date A Live ,Date A Live
,Kaori Sadohara,Day to Story ,Date a Live
,sweet ARMS,I swear ,Date A Live
,Erii Yamazaki,Last Promise ,Date A Live
,Iori Nomizu,Save My Heart ,Date a Live
,Iori Nomizu,Save The World ,Date a Live
,sweet ARMS,Trust in you ,Date A Live
,NIRGILIS,Shiny Shiny ,Deadman Wonder
,Nightmare,Alumina ,Death Note
,Nightmare,The world ,Death Note
,Maximum the Hormone,"What's up, people! ",Death Note
,Maximum the Hormone,Zetsubou Billy ,Death Note
,BRADIO,Flyers ,Death Parade
,NoisyCell,Last Theater ,Death Parade
,Kanako Itou,Modern Rose ,Demonbane
,Tokyo Performance Doll,DREAMIN' ,Denpa Kyoushi
,Etsuko Yakushimaru,Ruru ,Denpa Onna to Seishun Otoko
,Koichi Sugiyama,Fukkatsu no Ideon ,Densetsu Kyojin Ideon
,Ceui,Last Inferno ,Densetsu no Yuusha no Densetsu
,Sambomaster,Sekai wa Sore wo Ai to Yobundaze ,Densha Otoko
,Rina Aiuchi & Yuuka Saegusa,100 mono tobira ,Detective Conan
,CHiCO with HoneyWorks,Ai no Scenario ,Detective Conan
,ZARD ft. Aya Kamiki,Ai wa kurayami no naka de ,Detective Conan
,Garnet Crow,As the Dew ,Detective Conan
,Valshe,Butterfly Core ,Detective Conan
,Miki Matsuhashi,Destiny ,Detective Conan
,B'z,Don't wanna lie ,Detective Conan
,Mai Kuraki,Dynamite ,Detective Conan
,BREAKERZ,Everlasting Luv ,Detective Conan
,Velvet Garden,Feel Your Heart ,Detective Conan
,B'z,Girigiri Chop ,Detective Conan
,ZARD,Glorious Mind ,Detective Conan
,KNOCK OUT MONKEY,Greed ,Detective Conan
,Mai Kuraki,Growing of my heart ,Detective Conan
,Hundred Percent Free,Hello Mr. My Yesterday ,Detective Conan
,BOYFRIEND,Hitomi no Melody ,Detective Conan
,ZARD,Hoshi no Kagayaki yo ,Detective Conan
,Mai Kuraki,Ichibyou goto ni Love for you ,Detective Conan
,Hundred Percent Free,Juugoya Crisis ~ Kimi ni Aitai ~ ,Detective Conan
,grram,Kanashii Hodo Kyou no Yuuhi Kirei da ne ,Detective Conan
,Valshe,Kimi e no Uso,Detective Conan
,Chicago Poodle,Kimi no Egao ga Nani Yori mo Sukidatta ,Detective Conan
,Yuuka Saegusa,Kimi to Yakusoku Shita Yasashii Ano Basho Made ,Detective Conan
,Mai Kuraki,Koi ni Koishite ,Detective Conan
